Odświeżono dnia 27 marca 2025,"2 pokoje, balkon, 1 piętro, gotowe do zamieszkania","Łódź, Bałuty",345 000 zł,"45,90 m² - 7516.34 zł/m²",https://www.otodom.pl/pl/oferta/2-pokoje-balkon-1-pietro-gotowe-do-zamieszkania-ID4wg6l.html
03 marca 2025,Dobra Cena! 3-pokoje 800m od Monopolis!,"Łódź, Widzew",335 000 zł,"47,62 m² - 7034.86 zł/m²",https://www.otodom.pl/pl/oferta/dobra-cena-3-pokoje-800m-od-monopolis-ID4u0Hg.html
Odświeżono dnia 27 marca 2025,"Dąbrowa, 2 pokoje, rozkładowe, 2 piętro","Łódź, Górna",299 000 zł,"44,34 m² - 6743.35 zł/m²",https://olx.pl/oferta/dabrowa-2-pokoje-rozkladowe-2-pietro-CID3-ID14IX3P.html
Dzisiaj o 10:33,Prezentacja Tylko 5-Go I 6-Go Kwietnia !!!,"Łódź, Górna",333 333 zł,"50,26 m² - 6632.17 zł/m²",https://www.otodom.pl/pl/oferta/prezentacja-tylko-5-go-i-6-go-kwietnia-ID4wGDZ.html
Dzisiaj o 09:41,"M3 2 piętro 44,79m2 balkon Łódź Bałuty Żabieniec","Łódź, Bałuty",295 000 zł,"44,79 m² - 6586.29 zł/m²",https://www.otodom.pl/pl/oferta/m3-2-pietro-44-79m2-balkon-lodz-baluty-zabieniec-ID4wGRx.html
Dzisiaj o 07:12,M-3 Rozkładowe / Ul. Lutomierska,"Łódź, Bałuty",315 000 zł,"43,19 m² - 7293.35 zł/m²",https://www.otodom.pl/pl/oferta/m-3-rozkladowe-ul-lutomierska-ID4wBHS.html
28 marca 2025,Mieszkanie Janów TBS  51 m2,"Łódź, Widzew",290 000 złdo negocjacji,"51,08 m² - 5677.37 zł/m²",https://olx.pl/oferta/mieszkanie-janow-tbs-51-m2-CID3-ID14DOMR.html
28 marca 2025,2-pokojowe mieszkanie 48 m - BAŁUTY,"Łódź, Bałuty",320 000 zł,"48,11 m² - 6651.42 zł/m²",https://olx.pl/oferta/2-pokojowe-mieszkanie-48-m-baluty-CID3-ID14EYIL.html
28 marca 2025,"okazja 3 pok rozkład balkon, 4 pietro","Łódź, Górna",346 000 zł,"46,50 m² - 7440.86 zł/m²",https://www.otodom.pl/pl/oferta/okazja-3-pok-rozklad-balkon-4-pietro-ID4w2LJ.html
Odświeżono dnia 28 marca 2025,Gotowiec Inwestycyjny W Centrum Łodzi !,"Łódź, Bałuty",315 000 zł,"40,17 m² - 7841.67 zł/m²",https://www.otodom.pl/pl/oferta/gotowiec-inwestycyjny-w-centrum-lodzi-ID4tmqw.html
28 marca 2025,⭐ Nowa Cena⭐2 Pokoje⭐Blisko Centrum⭐Wyposażone⭐,"Łódź, Górna",300 000 zł,46 m² - 6521.74 zł/m²,https://www.otodom.pl/pl/oferta/nowa-cena2-pokojeblisko-centrumwyposazone-ID4ufh6.html
Odświeżono dnia 28 marca 2025,"Mieszkanie z potencjałem, 2 pokojowe na Lelewela17","Łódź, Górna",305 000 zł,"42,98 m² - 7096.32 zł/m²",https://www.otodom.pl/pl/oferta/mieszkanie-z-potencjalem-2-pokojowe-na-lelewela17-ID4wwjH.html
Odświeżono dnia 28 marca 2025,"M3 48m2 Łódź Widzew Zarzew - balkon, komórka (український, English)","Łódź, Widzew",298 000 zł,48 m² - 6208.33 zł/m²,https://olx.pl/oferta/m3-48m2-lodz-widzew-zarzew-balkon-komorka-english-CID3-ID12WumF.html
